Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,
2004.12.16,16-Dec-04,2004,Unprovoked,AUSTRALIA,South Australia,"West Beach, Adelaide",Scurfing (surfboard being  towed behind a boat),M,18,FATAL,Y,15h15,4.5 m & 5 m white shark ,
2004.12.11,11-Dec-04,2004,Unprovoked,AUSTRALIA,Queensland,Opal Reef,Spearfishing,M,38,"FATAL, leg bitten",Y,13h00,Bull shark,
2004.11.27,27-Nov-04,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,20,3 lacerations on foot,N,18h00,Raggedtooth shark,
2004.11.26,26-Nov-04,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Gonubie,Playing,M,16,Lacerations on lower leg & foot,N,,Raggedtooth shark,
2004.11.15,15-Nov-04,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,"Fish Hoek, False Bay",Swimming,F,77,FATAL,Y,07h00,6 m [20'] white shark,
2004.11.11.b,11-Nov-04,2004,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,lli,38,"Lacerations to hand, knee & thigh ",N,13h30,5.5 m [18'] white shark,
2004.11.11.a,11-Nov-04,2004,Unprovoked,VANUATU,Malampa Province,Malakula (Malakula Island),Snorkeling,M,30s,Thigh bitten,N,09h00,,
2004.11.00,Nov-04,2004,Unprovoked,NEW CALEDONIA,North Province,Koumac,Diving,,,Forearm bitten,N,,3 m shark,
2004.10.31,31-Oct-04,2004,Unprovoked,CUBA,Camaguey Province,Santa Lucia,Diving,M,40,Left forearm bitten,N,14h00,2.5 m [8.25'] bull shark,
2004.10.30.x,30-Oct-04,2004,Invalid,NEW ZEALAND,North Island,Whangarei,,,,No injury,N,,Invalid,
2004.10.30.a,30-Oct-04,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,Gansbaai,Chumming for white sharks,M,52,Right ankle & foot lacerated,N,Morning,2 m [6.75'] white shark,
2004.10.21,21-Oct-04,2004,Unprovoked,AUSTRALIA,New South Wales,Stockton Beach,Surfing,M,59,Right foot lacerated,N,Afternoon,"Bronze whaler shark, 2.4 m [8'] ",
2004.10.10,10-Oct-04,2004,Unprovoked,USA,California,"Limantour Beach, Point Reyes National Seashore",Surfing,M,,Lower leg bitten,N,09h30,1.8 m to 2.4 m [6' to 8'] white shark,
2004.10.09.b,09-Oct-04,2004,Unprovoked,USA,Hawaii,Moloka'i,Spearfishing,M,34,Left shoulder bitten,N,12h40,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] ",
2004.10.09.a,09-Oct-04,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey’s Bay,Surfing,M,34,Puncture wounds on right foot,N,Morning,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']",
2004.10.06,06-Oct-04,2004,Unprovoked,REUNION,Conservatória District,"P' tit Paris, Saint-Pierre",Body boarding,M,15,"Leg severely bitten, surgically amputated",N,16h15,Thought to involve a 2.5 m bull or tiger shark,
2004.10.02,02-Oct-04,2004,Unprovoked,USA,California,"Pismo Beach, San Luis Obispo County",Surfing,M,16,"No injury, knocked off surfboard",N,15h30,,
2004.10.01,01-Oct-04,2004,Unprovoked,USA,California,"Lifeguard Tower 16, Huntington Beach, Orange County",Surfing,M,40,"No injury, shark struck board & spun it around",N,14h00,,
2004.09.25,25-Sep-04,2004,Watercraft,AUSTRALIA,Queensland,Batt Reef,Spearfishing/ filming,,,"No injury to occupants, boat damaged",N,12h00,"Tiger shark, 3 m [10'] ",
2004.09.20,20-Sep-04,2004,Unprovoked,USA,Oregon,Gold  Beach,Surfing,M,26,Leg bitten,N,09h00,White shark,
2004.09.10,10-Sep-04,2004,Invalid,USA,Texas,South Padre Island,Surf fishing,M,,Minor scratch on calf,N,Between 05h00 and 08h00,Shark involvement questionable,
2004.09.08,08-Sep-04,2004,Unprovoked,BRAZIL,Pernambuco,"Pina, Recife",Swimming,,,FATAL,Y,,,
2004.09.04,04-Sep-04,2004,Unprovoked,USA,South Carolina ,"North of Apache Pier, Myrtle Beach, Horry County",Jumping,F,17,Left knee & leg bitten,N,15h40,2.4 m [8'] shark,
2004.08.29,29-Aug-04,2004,Unprovoked,USA,Florida,"New Smyrna Beach / Cape Canaveral  National Seashore, Brevard County",Walking,F,38,Heel bitten,N,17h30,,
2004.08.21,21-Aug-04,2004,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Bathing,M,24,Calf bitten & both hands injured,N,13h00,"Tiger shark, 1.5 m ",
2004.08.20,20-Aug-04,2004,Unprovoked,USA,California,"204s, San Clemente, Orange County",Surfing,M,,Foot bitten,N,17h30,0.9 m to 1.2 m [3' to 4'] white shark,
2004.08.15,15-Aug-04,2004,Unprovoked,USA,California,"Kibesillah, Mendocino County",Diving,M,50,FATAL,Y,16h00,4.9 m to 5.5 m [16' to 18'] white shark,
2004.08.06,06-Aug-04,2004,Unprovoked,USA,Florida,"Big Bayou, St. Petersburg, Pinellas County ",Swimming,M,47,"Back, buttocks, left hand & left side of face bitten",N,20h30,1.2 m [4'] shark,
2004.08.03,03-Aug-04,2004,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,Spearfishing,M,30,Minor puncture wounds to leg,N,14h00,,
2004.08.00,Aug-04,2004,Watercraft,SOUTH AFRICA,KwaZulu-Natal,Park Rynie,Fishing,,,No injury to occupants; boat damaged,N,,3 m to 4 m [10' to 13']  white shark,
2004.07.31,31-Jul-04,2004,Unprovoked,USA,Florida,"Cocoa  Beach, Brevard County",Surfing,F,20,Right foot bitten,N,13h00,,
2004.07.30,30-Jul-04,2004,Unprovoked,RUSSIA,Kuril Islands in the Pacific,"Kunashir Island, 70 km from northern Japan",Diving & fishing with net,M,,Thigh & calf bitten,N,,White shark,
2004.07.28,28-Jul-04,2004,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",Surfing,F,28,Right calf bitten,N,17h30,,
2004.07.27.b,27-Jul-04,2004,Unprovoked,USA,North Carolina,"Carolina Beach, New Hanover County",Swimming,F,13,Right forearm & wrist lacerated,N,17h00,1.8 m [6'] shark,
2004.07.27.a,27-Jul-04,2004,Unprovoked,USA,Texas,Galveston Island,Swimming,F,19,Right foot bitten,N,16h30,1.2 m to 1.5 m [4' to 5'] shark,
2004.07.25,25-Jul-04,2004,Unprovoked,USA,Texas,"Bryan Beach, Brazoria County",Wading / fishing & carrying a bag of fish,M,11,Right forearm nearly severed and bites above & below the right knee,N,19h30,Bull shark,
2004.07.19.R," 19-Jul-2004 Reported to have happened  ""on the weekend""",2004,Watercraft,AUSTRALIA,Western Australia,"7 km off Trigg surf beach, Perth",Fishing,,,"No injury to occupants; shark mouthed motor, severed anchor line",N,,4 m [13'] white shark,
2004.07.15,15-Jul-04,2004,Unprovoked,JAPAN,Wakayama Prefecture,Susami,Fishing for squid aboard the trawler Shikishima-Maru when the shark leapt into the boat,M,51,Suffered broken ribs when the shark's tail fin slammed into his chest,N,,"Longfin mako shark, 3.5 m [11.5'], 350-kg [772-lb] ",
2004.07.10,10-Jul-04,2004,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders Beach, Margaret River",Surfing,M,30,"FATAL, abdomen, pelvis & leg bitten      ",Y,14h10,"2 sharks, 4.5 m & 3 m ",
2004.07.02.b,02-Jul-04,2004,Unprovoked,EGYPT,Sinai Peninsula,The lagoon at Dahab,Snorkeling,F,Teen,Hand severed,N,,"""black tipped"" shark",
2004.07.02.a,02-Jul-04,2004,Unprovoked,USA,Alabama,"Gulf Shores Beach, Baldwin County",Wading,M,7,Right foot lacerated,N,16h40,4' to 5' shark,
2004.06.26.b,26-Jun-04,2004,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,45,"No injury, shark struck his board",N,09h00,"9'2"" white shark",
2004.06.26.a,26-Jun-04,2004,Invalid,AUSTRALIA,Western Australia,Floreat Beach,Crayfishing,M,,"No injury, shark made threat displays & diver fended it off with his speargun",N,,Invalid,
2004.06.14,14-Jun-04,2004,Unprovoked,USA,Florida,"Disney / Vero Beach, Indian River County",In water with diving seabirds,F,,Foot bitten,N,,,
2004.06.10.b,10-Jun-04,2004,Unprovoked,AUSTRALIA,Western Australia,Bunbury,Body boarding,M,17,Ankle & foot lacerated,N,Late afternoon,"Bronze whaler shark, 2.5 m [8.25'] ",
2004.06.10.a,10-Jun-04,2004,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming,M,8,Right wrist  & left arm lacerated,N,18h00,1.2 m [4'] shark,
2004.06.02,02-Jun-04,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,"Swimming, poaching perlemoen",M,21,"FATAL, leg severed ",Y,15h00,White shark,
2004.05.29,29-May-04,2004,Unprovoked,USA,Texas,"Pirate's Beach, Galveston Island",Wading,M,16,Puncture wounds on shin,N,19h45,0.9 m to 1.5 m [3' to 5'] shark,
2004.05.23.b,23-May-04,2004,Unprovoked,BRAZIL,Pernambuco,Piedade Beach,Swimming,M,17,"Left hand, foot severed &  left calf & arm bitten",N,14h30,Bull shark,
2004.05.28,28-May-04,2004,Unprovoked,USA,California,"Salmon Creek, Sonoma County",Surfing,M,44,No injury,N,11h00,2.4 m to 3.7 m [8' to 12'] shark,
2004.05.23.a,23-May-04,2004,Unprovoked,USA,Florida,"St. Augustine, St. John's County",Boogie-boarding / swimming,M,9,Calf & foot lacerated,N,12h30,,
2004.05.22.c,22-May-04,2004,Invalid,USA,Florida,St. Augustine  St. Johns County,Swimming,M,9,Single puncture wound on the foot,N,,Shark involvement not confirmed,
2004.05.22.b,22-May-04,2004,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",,F,9,Foot bitten,N,Afternoon,,
2004.05.22.a,22-May-04,2004,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Wading,F,24,Hips & thighs bitten,N,16h00,,
2004.05.18,18-May-04,2004,Provoked,BAHAMAS,Abaco Islands,Green Turtle Cay,Free diving & spearfishing,M,63,Left forearm bitten PROVOKED INCIDENT,N,15h00,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)",
2004.05.04,04-May-04,2004,Unprovoked,USA,Texas,Channel between South Padre Island & Padre Island National Seashore,Tandem surfing,M,28,"No injury, board bitten",N,16h30,"Mako shark, 1.8 m [6']",
2004.05.01,01-May-04,2004,Unprovoked,BRAZIL,Pernambuco,Piedade ,Swimming,M,22,FATAL,Y,Afternoon,,
2004.04.26,26-Apr-04,2004,Unprovoked,AUSTRALIA,New South Wales,"Latitude Reef, near Forster",Diving,M,,Puncture wounds on wrist,N,Morning,"Wobbegong shark, 1.2 m [4'] k",
2004.04.22,22-Apr-04,2004,Watercraft,NEW ZEALAND,North Island,Motunui,Fishing,,,"No injury to occupants, boat scratched by shark",N,,"White shark, 5.5 m [18']",
2004.04.13.b,13-Apr-04,2004,Unprovoked, TONGA,Nuku'alofa,30 nautical miles offshore,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,,"Bitten on feet, legs, back & abdomen but survived.  Survivors rescued after  7.5 hours in the water",Y,,small sharks,
2004.04.13.a,13-Apr-04,2004,Invalid, TONGA,Nuku'alofa,30 nautical miles offshore,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,,"He was was bitten on the arm by small sharks & died, but it was not clear if he died as result of the bite or death resulted from drowing",Y,,Questionable Incident,
2004.04.07,07-Apr-04,2004,Unprovoked,USA,Hawaii,"Kahana Beach, Maui",Surfing,M,57,FATAL Severe wound to right thigh & calf,Y,07h08,Tiger shark,
2004.04.05,05-Apr-04,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,"Surfers' Corner, Muizenberg, False Bay",Surfing,M,16,"Left leg lacerated, right leg severed above the knee ",N,14h00,5 m [16.5'] white shark,
2004.04.04,04-Apr-04,2004,Invalid,USA,Hawaii,Velzyland,Surfing,F,22,"Disappeared, surfboard washed ashore, marks on leash suggested shark involvement ",N,,Shark involvement prior to death was not confirmed,
2004.03.31.b,31-Mar-04,2004,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",,M,26,Right foot bitten,N,,,
2004.03.31.a,31-Mar-04,2004,Unprovoked,USA,Florida,"Stuart Rocks, Martin County",Surfing,M,20,15 puncture wounds on foot,N,09h00,1.2 m [4'] bull shark,
2004.03.29,29-Mar-04,2004,Unprovoked,BRAZIL,Pernambuco,Piedade Beach,Body boarding,M,22,"Lower left leg bitten, surgically amputated",N,07h30,bull shark,
2004.03.28,28-Mar-04,2004,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Surfing,M,,Heel bitten,N,15h00,bull shark,
2004.03.27.b,27-Mar-04,2004,Unprovoked,REUNION,Saint-Benoît,Spot de la gare,Surfing,M,20,Right thigh bitten,N,17h00 or 17h40,2.5 m shark,
2004.03.27.a,27-Mar-04,2004,Unprovoked,USA,Florida,"Sanibel Island, Lee County",Swimming,M,61,Minor lacerations & abrasions on forearm,N,08h30,,
2004.03.24,14-Mar-04,2004,Unprovoked,USA,Hawaii,Punaluu,Snorkeling,F,,Lacerations to left foot,N,10h00,1.8 m [6'] shark,
2004.03.22,22-Mar-04,2004,Unprovoked,NEW ZEALAND,North Island,Te Arai Point,Spearfishing,M,,No injury,N,12h30,Bronze whaler shark,
2004.03.16,16-Mar-04,2004,Unprovoked,USA,Hawaii,"Kalihiwai Beach, Kauai",Surfing,M,51,"No injury, board bitten",N,07h45,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",
2004.03.06,06-Mar-04,2004,Unprovoked,AUSTRALIA,Western Australia,5 nm off Cervantes,Spearfishing,M,47,Shin & calf bitten,N,,"Bronze whaler shark, 1.5 m [5'] ",
2004.02.29,29-Feb-04,2004,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Swimming,M,29,"FATAL, right thigh & hip bitten   ",Y,15h00,,
2004.02.26,26-Feb-04,2004,Unprovoked,NEW ZEALAND,"South Island, near Karitane north of Dunedin",South Beach,Surfing,M,15,Thigh lacerated,N,19h00,2 m [6.75'] sevengill  shark,
2004.02.21,21-Feb-04,2004,Unprovoked,AUSTRALIA,New South Wales,"Taree, Old Bar Beach",Swimming,M,,Three toes lacerated,N,,,
2004.02.16,16-Feb-04,2004,Invalid,AUSTRALIA,Queensland,"Fido's Reef, 300 m east of Cook Island. Cook Island is 2 miles from Tweed Heads, Gold Coast",Free diving & spearfishing,M,31,"Disappeared while diving, may have suffered shallow water blackout. Searchers observed large tiger sharks & whaler sharks in the area",N,11h00,Shark involvement not confirmed,
2004.02.14,14-Feb-04,2004,Unprovoked,EGYPT,Unknown,"Coral Bay, Sharm-el-Sheikh",Snorkeling,M,,FATAL,Y,,,
2004.02.11,11-Feb-04,2004,Unprovoked,AUSTRALIA,New South Wales,Caves Beach,Snorkeling,M,22,Leg bitten,N,,"60 cm [23.6""] blind or brown shark",
2004.01.25,25-Jan-04,2004,Unprovoked,AUSTRALIA,Western Australia,Binningup,Scuba diving,M,46,Left leg bitten,N,11h05,4 m to 5 m [13' to 16.5'] white shark,
2004.01.23,23-Jan-04,2004,Unprovoked,URUGUAY,Rocha,Ensenada de la Coronilla,Surfing,M,21,Puncture wounds to dorsum of right foot,N,,Possibily a  1.5 to 2 m sandtiger shark,
2004.01.22,22-Jan-04,2004,Invalid,NEW ZEALAND,Northlands,90 Mile Beach,Boogie boarding,M,,"No injury, swim fin damaged",N,,Shark involvement doubtful,
2004.01.21.b,21-Jan-04,2004,Unprovoked,VENEZUELA,Anzoategui,"Playa Colorada Beach, Mochima National Park, only 200 m west of Santa Cruz Beach",Swimming,M,,Lower back & hand bitten,N,14h30,"Bull shark, 1.65 m [5'5""] was speared & killed",
2004.01.21.a,21-Jan-04,2004,Unprovoked,VENEZUELA,Anzoategui,"Santa Cruz Beach, Mochima National Park, 250 km from Caracas",Spearfishing,M,40,Right leg bitten,N,11h00,"Bull shark, 132-kg [291-lb] ",
2004.01.15.R,Reported 15-Jan-2004 ,2004,Watercraft,SOUTH AFRICA,KwaZulu-Natal,Ballito,Surf skiing,M,,"No injury to occupants, stern of ski bitten",N,,"Mako shark, 3 m to 4 m [10' to 13'] ",
2004.01.12,12-Jan-04,2004,Unprovoked,AUSTRALIA,New South Wales,Bushrangers Pass at Bass Point,Diving,M,,"No injury, swim fin ripped off",N,Midday,"Raggedtooth shark, 3.5 m [11.5'] ",
2004.01.07,07-Jan-04,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"West Beach, Port Alfred",Surfing,M,22,Foot lacerated,N,,Raggedtooth shark,
2004.01.03.b,03-Jan-04,2004,Invalid,NEW ZEALAND,North Island,"Whiritoa, Eastern Cormandel",Kayaking (returning from spearfishing),M,,"No injury, no attack, shark took fish from back of kayak",N,Afternoon,Invalid,
2004.01.03.a,03-Jan-04,2004,Sea Disaster,EGYPT,Sinai Peninsula,Off Sharm El-Sheikh,Air disaster. Flash Airlines Boeing 737 crashed into the Red Sea,,,"No survivors, sharks scavenged on remains",Y,03h00,,
2004.00.00,2004,2004,Unprovoked,AUSTRALIA,Western Australia,Redgate Beach,Surfing,M,,No inury,N,Morning,,
2003.12.31,31-Dec-03,2003,Watercraft,SOUTH AFRICA,KwaZulu-Natal,Salt Rock ,,,,No injury to occupants,N,,Shortfin mako shark,
2003.12.26,26-Dec-03,2003,Invalid,USA,Florida,"Miami, Dade County",Swimming,M,28,Knee lacerated,N,,Questionable Incident,
2003.12.13.b,13-Dec-03,2003,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,M,13,Foot bitten,N,13h15,,
2003.12.13.a,13-Dec-03,2003,Unprovoked,NEW ZEALAND,Cook Islands,Pukapuka Northern Group,Swimming / shipwreck,M,45,FATAL,Y,Night,,
2003.12.08,08-Dec-03,2003,Unprovoked,AUSTRALIA,Victoria,Collendina Beach east of Ocean Grove,Surfing amid a shoal of sharks,M,36,"No inury, shark caught leash attached to surfer's ankle & towed him a short distance",N,09h30,,
2003.11.30.b,30-Nov-03,2003,Unprovoked,AUSTRALIA,Western Australia,Perth? (Margaret River District),Swimming,M,,"After biting Halverson, it bit Scott's thigh",N,11h30,"Wobbegong shark, 1.2 m [4'] ",
2003.11.30.a,30-Nov-03,2003,Unprovoked,AUSTRALIA,Western Australia,Perth? (Margaret River District),Swimming,M,,Hand & foot bitten,N,11h30,"Wobbegong shark, 1.2 m [4'] ",
2003.11.27,27-Nov-03,2003,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Sodwana,Spearfishing,M,21,"Presumed FATAL, severed hand recovered",Y,>08h00,"Tiger shark, 4 m [13']  ?",
2003.11.22,22-Nov-03,2003,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,F,35,Severe abrasion to left lateral calf,N,15h30,4' shark,
2003.11.12.b,12-Nov-03,2003,Unprovoked,INDIA,Tamil Nadu,"Mahabalipuram beach, 37 km south of Chennai",Swimming or surfing,M,35,Left index finger lacerated,N,,Tiger shark?,
2003.11.12.a,12-Nov-03,2003,Unprovoked,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",Surfing,M,24,Lacerations to hand,N,,,
2003.11.06.b,06-Nov-03,2003,Unprovoked,EGYPT,Sinai Peninsula,"Sha’ab Mahmud, Ras Mohamed Park",Snorkeling,M,,Hand/elbow injured,N,,2.5 oceanic whitetip shark,
2003.11.06.a,06-Nov-03,2003,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Karridene,Surf skiing,,,"No injury to occupants, hull of ski bitten",N,,White shark,
2003.11.01,01-Nov-03,2003,Unprovoked,AUSTRALIA,New South Wales,"Seal Rocks, north of Newcastle",Standing,M,,Minor lacerations to leg & foot,N,Dusk,,
2003.11.00,Nov-03,2003,Provoked,PANAMA,Pearl Islands,,Spearfishing,M,,Left forearm bitten PROVOKED INCIDENT,N,,"Nurse shark, 60 cm to 90 cm [2' to 3'] ",
2003.10.31.c,31-Oct-03,2003,Unprovoked,USA,Florida,"Ponte Vedra Beach, St. Johns County",Surfing,M,18,Left foot (sole) bitten,N,15h00,1.2 m to 1.5 m [4' to 5'] shark,
2003.10.31.b,31-Oct-03,2003,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Seal Rocks",Surfing,M,22,Left ankle & foot lacerated,N,17h30,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark",
2003.10.31.a,31-Oct-03,2003,Unprovoked,USA,Hawaii,"Tunnels surf break off Makua Beach, Kaua'i",Surfing,F,13,Left arm severed below shoulder,N,07h30,"Tiger shark, 14' ",
2003.10.27,27-Oct-03,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,46,Laceration on right ankle & heel,N,12h20,,
2003.10.24,24-Oct-03,2003,Invalid,USA,Hawaii,Honolua Bay,Snorkeling,M,56,Left forearm lacerated,N,12h20,Shark involvement not confirmed,
2003.10.14,14-Oct-03,2003,Unprovoked,USA,Florida,Near Patrick Air Force Base Brevard County,Surfing,M,19,Foot bitten,N,--,1.2 m [4'] shark,
2003.10.06,06-Oct-03,2003,Invalid,USA,Florida,Palm Beach?,Swimming to shore from boat or kayak,M,,"Fatal, drowning or scavenging.  Two hours later his body, with bite marks,  washed ashore.",Y,--,Shark involvement prior to death was not confirmed,
2003.10.05.e,05-Oct-03,2003,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,F,,Minor puncture wounds in hand,N,15h00,,
2003.10.05.d,05-Oct-03,2003,Unprovoked,USA,Florida,"Stuart Park Beach, Martin County",Surfing,M,18,5 to 6 lacerations on right foot & ankle,N,14h30,,
2003.10.05.c,05-Oct-03,2003,Provoked,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",Surfing,M,30,Left ankle bitten when he stepped on the shark PROVOKED INCIDENT,N,14h00,,
2003.10.05.b,05-Oct-03,2003,Unprovoked,USA,Florida,"Crawford Road beach approach at New Smyrna Beach, Volusia County",Sitting on surfboard,M,50,Left foot bitten,N,12h02,,
2003.10.05.a,05-Oct-03,2003,Unprovoked,USA,Hawaii,"Cove Beach / Kalama Beach, Kihei, Maui",Wading near a fishing net,F,41,"Left thigh abraded, right knee and right index finger injured",N,12h55,"1.2 m [4'] ""grey-colored shark""",
2003.09.29,29-Sep-03,2003,Unprovoked,FIJI,Taveuni,Welagi coastal reef off Drekeniwai,Wading to shore from his boat,M,40,FATAL abdomen bitten,Y,Night,,
2003.09.28,28-Sep-03,2003,Unprovoked,USA,Florida,"North Hutchinson Island, St. Lucie Couny",Surfing,M,16,Arm lacerated,N,07h45,,
2003.09.21,21-Sep-03,2003,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,21,Left foot bitten,N,11h45,,
2003.09.19,19-Sep-03,2003,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,19,Left heel lacerated,N,16h30,,
2003.09.17,17-Sep-03,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,3 puncture wounds on left foot,N,14h00,,
2003.09.14.c,14-Sep-03,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,30,Left foot: lacerations on heel and sole,N,16h14,3' shark,
2003.09.14.b,14-Sep-03,2003,Watercraft,SOUTH AFRICA,Western Cape Province,Melkbosstrand,Fishing ,,36 & 26,"No injury to occupants, shark bit boat",N,09h40,2 m cow shark,
2003.09.14.a,14-Sep-03,2003,Invalid,USA,Florida,"Bathtub Reef Beach, Martin County",Swimming,F,8 or 10,Puncture wounds on inner thigh,N,13h30,Shark involvement doubtful,
2003.09.13.b,13-Sep-03,2003,Unprovoked,USA,Florida,"Daytona Beach, Volusia County ",Body boarding,M,18,Left calf avulsion,N,17h11,6' shark,
2003.09.13.a,13-Sep-03,2003,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County","Standing, stepped on shark",M,15,Ankle lacerated,N,Afternoon,7' shark,
2003.09.12,12-Sep-03,2003,Unprovoked,SOUTH AFRICA,Western Cape Province,Near the wreck of the Kakapo off Noordhoek Beach,Body boarding,M,19,"FATAL, left thigh, buttocks, back of spine, abdomen & chest bitten  ",Y,14h30,White shark,
2003.09.00,Sep-03,2003,Unprovoked,USA,Florida,"Boca Grande, Lee County",Wade-fishing,M,,2 lacerations on each side of Achilles tendon,N,,,
2003.08.29,29-Aug-03,2003,Provoked,USA,Texas,1.5 miles off Surfside ,Fishing,M,,PROVOKED INCIDENT Hooked shark pulled onboard bit his arm  ,N,12h20,1.2 m [4'] bull shark,
2003.08.19,19-Aug-03,2003,Unprovoked,USA,California,"Avila Beach, San Luis Obispo County","Swimming, wearing black wetsuit & swim fins",F,50,"FATAL          Hip & upper thigh bitten, femoral artery severed ",Y,08h15,4.5 m to 5.5 m [15' to 18'] white shark,
2003.08.12,12-Aug-03,2003,Invalid,USA,California,"Venice Beach, Los Angeles County",Swimming,M,31,Left ankle lacerated,N,00h30,Shark involvement not confirmed,
2003.08.08,08-Aug-03,2003,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey’s Bay,Sitting on surfboard,M,16,"No injury, wetsuit torn & board bitten",N,08h00,3.5 m [11.5'] white shark,
2003.07.26.R,Reported 26-Jul-2003,2003,Unprovoked,AUSTRALIA,Northern Territory,Nhulunbuy,Surf skiing,M,37,"No injury, flung into water when shark bit rudder of ski",N,,,
2003.07.20,20-Jul-03,2003,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,18,Laceration to little finger of  right hand,N,15h45,,
2003.07.15,15-Jul-03,2003,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,F,15,Heel & sole of left foot,N,14h37,,
2003.07.09,10-Jul-03,2003,Unprovoked,BAHAMAS,Abaco Islands,Bakers Bay,Spearfishing,M,58,Right thigh bitten,N,14h30,Unidentified species,
2003.07.05.b,05-Jul-03,2003,Provoked,USA,Florida,"Near New Smyrna Jetty, Volusia County","Walking, carrying surfboard & stepped on shark",M,10,3 puncture wounds on right lateral ankle PROVOKED INCIDENT,N,10h07,2' shark,
2003.07.05.a,05-Jul-03,2003,Unprovoked,USA,Florida,"Canova Beach, Brevard County",Surfing,M,21,Left foot bitten,N,,1.5 m to 1.8 m [5' to 6'] shark,
2003.07.04,04-Jul-03,2003,Unprovoked,BAHAMAS,Abaco Islands,10 miles west of Walker’s Cay,Spearfishing,M,39,Left calf bitten,N,14h45,2.1 m  [7'] bull shark,
2003.07.00.c,Jul-03,2003,Unprovoked,USA,Florida,"Fort Lauderdale, Broward County",Spearfishing,M,,Laceration to toe,N,,8' great hammerhead shark,
2003.07.00.b,Late Jul-2003,2003,Unprovoked,FRENCH POLYNESIA,Society Islands,Moorea,Spearfishing,M,,Leg bitten,N,,,
2003.07.00.a,Jul-03,2003,Unprovoked,NEW ZEALAND,Cook Islands,Beveridge Reef,Snorkeling,M,,Chest & buttocks  bitten,N,,Grey reef shark,
2003.06.30,30-Jun-03,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Right foot & toes lacerated,N,13h53,Unidentified species,
2003.06.26,26-Jun-03,2003,Unprovoked,USA,Florida,St Augustine Beach. St. Johns County,Surfing,M,15,Ankle lacerated,N,Morning,106 cm [3.5']  shark,
2003.06.24.c,24-Jun-03,2003,Unprovoked,BRAZIL,Pernambuco,"Piedade, Recife",,M,,FATAL,Y,,,
2003.06.24.b,24-Jun-03,2003,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Standing,F,12,2 lacerations to the thigh,N,Afternoon,“small brown shark”,
